h3_cell,location_name,lat,lon,top_violation_details
8861892e39fffff,"Outer Ring Road, Venkatappa Colony, Mahadevapura",13.000383245060139,77.67708699645414,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892e3bfffff,"Outer Ring Road, Tin Factory Junction, Dooravani Nagar",12.997709709615167,77.67086540447065,WRONG PARKING (112) | PARKING IN A MAIN ROAD (107) | NO PARKING (113)
8861892e3dfffff,"MBT Road, SM Layout, Dooravani Nagar",13.005665936752449,77.68574238710005,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e41fffff,"ITPL Main Road, RMZ Centennial, Industrial Area Phase 1",12.977746262399998,77.71016086,WRONG PARKING (112) | PARKING IN A MAIN ROAD (107) | NO PARKING (113)
8861892e43fffff,"Ferns City Road, Doddanekundi, Bengaluru",12.97736796537827,77.69672061220881,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892e45fffff,"Hoodi Main Road, Godrej Air Nxt, Hoodi",12.987817372387326,77.71069593750028,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e47fffff,"ITPL Main Road, Sumadhura Vasantham, Hoodi",12.984687426153846,77.70822084615384,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e49fffff,"ITPL Main Road, SJR Brooklyn Apartment, Kundalhalli",12.971363799490494,77.71204509186374,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e4bfffff,"Outer Ring Road, Karthik Nagar, Marathahalli",12.968930596633069,77.70107632184052,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892e4dfffff,"Industrial Park Road, RMZ NXT, EPIP Zone",12.97834373110672,77.71467385603545,WRONG PARKING (112) | PARKING IN A MAIN ROAD (107) | NO PARKING (113)
8861892e53fffff,"GM Palya Main Road, Mallesh Palya Extension, Malleshpalya",12.973391633333334,77.6772479,NO PARKING (113) | WRONG PARKING (112)
8861892e55fffff,"Outer Ring Road, Doddanekundi, Bengaluru",12.979254692283169,77.69499702124214,NO PARKING (113) | PARKING IN A MAIN ROAD (107) | WRONG PARKING (112)
8861892e57fffff,"Kaggadaspura Main Road, Thimaia Reddy Layout, Kaggadasapura",12.9792733,77.6796118,NO PARKING (113)
8861892e61fffff,"Devasandra Main Road, Krishnappa Circle, KR Puram",13.004067100000004,77.71251196,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e63fffff,"4th Cross Road, Dyavasandra Industrial Estate Phase 1, Mahadevapura",12.99817255,77.70155155,WRONG PARKING (112) | NO PARKING (113)
8861892e65fffff,"Kodigehalli Main Road, Bethel Nagar, KR Puram",13.004896476923076,77.71666495384615,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e67fffff,"Basavanapura Road, KR Puram, Bengaluru",13.004765837931032,77.70983706206897,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e69fffff,"Hoodi Main Road, Thigalarapalya, Hoodi",12.992807883168316,77.71690143465347,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e6bfffff,"Whitefield Road, Bhoruka Tech Park, Mahadevapura Industrial Area",12.9924220625,77.70719249583333,WRONG PARKING (112) | NO PARKING (113) | DEFECTIVE NUMBER PLATE (116)
8861892e6dfffff,"Kodigehalli Main Road, Aryav Greenfields, Kadugodi",13.00346475677966,77.72349923220338,PARKING IN A MAIN ROAD (107) | WRONG PARKING (112)
8861892e81fffff,"Kallapalli Road, KR Garden, Jeevanahalli",12.99425667147888,77.62914752707587,WRONG PARKING (112)
8861892e83fffff,"Madhavaraya Mudaliar Road, Cox Town, Bengaluru",12.996016833333334,77.62222153333333,NO PARKING (113) | WRONG PARKING (112)
8861892e85fffff,"Banaswadi Main Road, Maruthi Sevanagar, Bengaluru",13.002459842307694,77.63410070384614,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892e87fffff,"Banaswadi Main Road, Prestige Woodland Park, Maruthi Sevanagar",12.999819576733982,77.62634508150416,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892e89fffff,"Old Madras Road, New Binnamangla, Indiranagar",12.983483580252221,77.63996036182829,WRONG PARKING (112) | NO PARKING (113) | PARKING ON FOOTPATH (105)
8861892e8bfffff,"Komi Siddanna Garden Road, Laxmana Layout, Halasuru",12.981369460869564,77.62848218260869,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892e91fffff,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",12.98287402023013,77.61072272667917,WRONG PARKING (112) | NO PARKING (113) | DEFECTIVE NUMBER PLATE (116)
8861892e93fffff,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru",12.984335680958333,77.60363101079997,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e95fffff,"Coles Road, Silver Enclave, Frazer Town",12.995385493319631,77.61435137040083,NO PARKING (113) | WRONG PARKING (112) | PARKING ON FOOTPATH (105)
8861892e97fffff,"Saunders Road, Pulikeshi Nagar, Frazer Town",12.993897624535315,77.60914938698885,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892e99fffff,"Dickenson Road, Sivanchetti Gardens, Bengaluru",12.979200328554779,77.61419430675991,NO PARKING (113) | WRONG PARKING (112) | DEFECTIVE NUMBER PLATE (116)
8861892e9bfffff,"Dispensary Road, Tasker Town, Shivaji Nagar",12.980993757403374,77.6084035641346,WRONG PARKING (112) | NO PARKING (113) | DEFECTIVE NUMBER PLATE (116)
8861892e9dfffff,"Professor K Venkatachalam Circle, Venkatachalam Circle, Sivanchetti Gardens",12.987374818423463,77.61864515293055,NO PARKING (113) | WRONG PARKING (112) | PARKING ON FOOTPATH (105)
8861892ea1fffff,"5th Main Road, Sena Vihar, Kammanahalli",13.0170466,77.63897221304349,NO PARKING (113) | WRONG PARKING (112)
8861892ea3fffff,"Sri Vinayaka Temple Main Road, Sait Palya, Lingarajapuram",13.01350555423729,77.62678660847456,NO PARKING (113) | WRONG PARKING (112) | DEFECTIVE NUMBER PLATE (116)
8861892ea5fffff,"CMR Road, Jahnavi Layout, Kalyan Nagar",13.022477243036391,77.63956518888632,WRONG PARKING (112) | NO PARKING (113) | DEFECTIVE NUMBER PLATE (116)
8861892ea7fffff,"Chikka Muniyappa Reddy Road, Prestige North Point, HRBR Layout",13.02361227684165,77.63486194773454,NO PARKING (113) | WRONG PARKING (112)
8861892ea9fffff,"Banaswadi Main Road, Lakshmaiah Garden, Subbanapalya",13.007342971428573,77.64070822857143,WRONG PARKING (112) | NO PARKING (113)
8861892eabfffff,"Hanumantappa Road, Munikalappa Garden Layout, New Lingarajapuram",13.006523314285714,77.6354065,WRONG PARKING (112)
